	Slide	Region_area	TotalAcc	EpitheliumAcc	EpitheliumF1	Class_Label	Stroma_Area	G3	G4/G5	BN	ST
1304728_00	1304728	508.0	0.44881889763779526	0.5415676959619953	0.7026194144838213	G3	87	228	119	74	0
1305481_00	1305481	4374.0	0.4638774577046182	0.6266213712168005	0.7704575659768369	G4/G5	1136	213	2029	996	0
1304709_00	1304709	2294.0	0.5680034873583261	0.6570852244074634	0.7930614729153986	G3	311	1303	256	424	0
1304730_00	1304730	1582.0	0.4418457648546144	0.4824016563146998	0.6508379888268156	G3	133	699	359	391	0
1304704_00	1304704	1036.0	0.5135135135135135	0.6236811254396248	0.768231046931408	G3	183	532	292	29	0
1305484_00	1305484	3781.0	0.46892356519439304	0.6835003855050116	0.8119990840393864	G4/G5	1187	416	1773	405	0
1305457_00	1305457	1937.0	0.15952503871966958	0.20436507936507936	0.3393739703459638	G4/G5	425	170	309	1033	0
1305491_00	1305491	1963.0	0.521650534895568	0.6012918379330593	0.7510084341767509	G4/G5	260	297	1024	382	0
1305488_00	1305488	583.0	0.5951972555746141	0.6098418277680141	0.75764192139738	G4/G5	14	148	347	74	0
1305458_00	1305458	6224.0	0.3672879177377892	0.5589242053789731	0.7170639899623589	G4/G5	2134	505	2286	1299	0
1305454_00	1305454	4498.0	0.1971987550022232	0.22937677786397725	0.37315944467816575	G4/G5	631	1222	887	1758	0
1304729_00	1304729	578.0	0.12283737024221453	0.16247139588100687	0.2795275590551181	G3	141	71	219	147	0
1305455_00	1305455	1490.0	0.5684563758389262	0.6320895522388059	0.7745770461819844	G4/G5	150	123	847	370	0
1305483_00	1305483	879.0	0.30602957906712175	0.42971246006389774	0.6011173184357541	G4/G5	253	133	269	224	0
1304727_00	1304727	2384.0	0.4853187919463087	0.5796593186372746	0.7339042182048843	G3	388	1157	88	751	0
1305487_00	1305487	726.0	0.33884297520661155	0.543046357615894	0.7038626609442059	G4/G5	273	10	246	197	0
1305487_01	1305487	2245.0	0.244543429844098	0.39956331877729256	0.5709828393135725	G4/G5	871	474	549	351	0
1305450_00	1305450	3762.0	0.31711855396065924	0.36786925686093125	0.5378719567177638	G4/G5	519	1392	1193	658	0
1305497_00	1305497	2956.0	0.5013531799729364	0.7225743539736714	0.8389470704783469	G4/G5	905	108	1482	461	0
1304726_00	1304726	3233.0	0.482833281781627	0.6322397731875253	0.7746898263027295	G3	764	1561	219	689	0
1305493_00	1305493	4415.0	0.3198187995469989	0.46816976127320953	0.6377597109304427	G4/G5	1399	1075	1412	529	0
1304720_00	1304720	1376.0	0.37281976744186046	0.48810656517602286	0.6560102301790282	G3	325	513	50	488	0
1305460_00	1305460	6325.0	0.4951778656126482	0.600575263662512	0.7504492632083384	G4/G5	1110	448	3132	1635	0
1305494_00	1305494	6835.0	0.3152889539136796	0.3986311505734369	0.570030419256712	G4/G5	1429	2912	2155	339	0
1305498_00	1305498	3939.0	0.5585173902005586	0.7567939456484348	0.861562561190523	G4/G5	1032	134	2200	573	0
1305479_00	1305479	4811.0	0.5491581791727291	0.6220861784789263	0.7670198867760198	G4/G5	564	402	2642	1203	0
1304721_00	1304721	759.0	0.5942028985507246	0.6452074391988555	0.7843478260869563	G3	60	451	74	174	0
1305447_00	1305447	2729.0	0.47929644558446316	0.5782493368700266	0.7327731092436975	G4/G5	467	496	1308	458	0
1305456_00	1305456	5269.0	0.294932624786487	0.3230769230769231	0.48837209302325585	G4/G5	459	485	1554	2771	0
1305472_00	1305472	1693.0	0.3225044300059067	0.5009174311926605	0.6674816625916871	G4/G5	603	450	546	94	0
1305446_00	1305446	2975.0	0.6487394957983194	0.7397470295132235	0.8504075787618419	G4/G5	366	48	1930	631	0
